iter	F1	Logloss
0	0.7556549824	0.6758974006
1	0.7679599701	0.6547732757
2	0.7717207361	0.6342828532
3	0.775291327	0.6197205686
4	0.7780209741	0.6072154077
5	0.7818352211	0.598210578266	0.7821032393	0.586492891777	0.7826492761	0.576447849288	0.7808500179	0.568071890499	0.781660668	0.5618779913
10	0.7820616568	0.5558660151
11	0.7844911837	0.549078587
1212	0.7773022466	0.5486201301313	0.783609608	0.5414544676114	0.782924187	0.5366133331515	0.783174063	0.531496355
16	0.7865231873	0.5219550784
17	0.7833590917	0.523437731
18	0.7833890805	0.5197434689
119	0.7868176302	0.5126889485220	0.7868557332	0.5089045682121	0.7872602654	0.5059282922	0.7839572084	0.5093942897
23	0.7837205312	0.5076401692
24	24	0.7902217933	0.496279852525	0.7913646392	0.4949768692626	0.7910693263	0.4929202322727	0.7915758568	0.4908049722828	0.793613412	0.4892761112229	0.7934360558	0.4869184730330	0.7947112188	0.485298593131	0.7951879448	0.4835377633232	0.7964466309	0.48002704133333	0.7935714029	0.48086187334	0.7955282298	0.47641867283335	0.7950849188	0.4784598033336	0.7942030944	0.4772361803337	0.7946669754	0.4744592573838	0.7949812457	0.4736825183939	0.7949423181	0.4723893740	40	0.7953778742	0.471352384141	0.7956623467	0.470067634442	0.7958548082	0.468830762
43	0.7955072451	0.4672233505
44	0.7956388576	0.4659096231445	0.7953841372	0.4642601346	46	0.7961789539	0.463626647	047	0.7964650684	0.462563948	048	0.7969143729	0.461621749	049	0.7980207789	0.460526150	050	0.7985183474	0.459719851	051	0.7986617309	0.458880652	052	0.7979003314	0.458034853	53	0.7991861659	0.456764354	054	0.7998800723	0.455998955	055	0.801358978	0.4548715256	56	0.8009410408	0.4540371557	57	0.8002369817	0.4534006158	58	0.8004476649	0.4526378559	59	0.8007053877	0.4520837660	60	0.8008897264	0.4513812461	61	0.8014417813	0.4509938762	62	0.8009925705	0.449696736363	0.8021804908	0.4488840646464	0.8018421956	0.4481730726565	0.8025330761	0.4471718436666	0.8023413293	0.4464701867	67	0.8020482076	0.4459202568	68	0.8024926586	0.4451266869	69	0.8025684928	0.4446591670	70	0.8022292874	0.444151547171	0.8034038707	0.44318317772	0.8090042044	0.4355362466
7373	0.8040175872	0.4423365507474	0.8033339755	0.4418128447575	0.8035119233	0.4409614327676	0.8039830085	0.4405341287777	0.8047114462	0.4398816837878	0.8043419837	0.4393857177979	0.8046539682	0.4386506080	80	0.8046305974	0.4384560281	81	0.804607182	0.4373428958282	0.8055054159	0.436453643
83	0.8053366655	0.4356840136884	0.8049877402	0.4348123514885	0.8052347861	0.4344182495
86	0.8045348572	0.4336725487	87	0.8049855982	0.432519668888	0.8058995564	0.4319949389	89	0.8053804112	0.4314864690	90	0.805572384	0.4312987291	91	0.8065772632	0.4304786692	92	0.8072771436	0.4300224493	93	0.8076047111	0.4296909094	94	0.8080900922	0.4289510395	95	0.8085235058	0.4286686159
96	0.8088516764	0.4283348252
97	0.8087949126	0.4279218498	98	0.8090344912	0.4274697999	99	0.8094639739	0.4269653100	100	0.8095334636	0.4262784101	101	0.81017774	0.42604967
102	0.8102915522	0.4252955762
103	0.8104053963	0.4247668814
104	0.810223956	0.4243008021
105	0.8100656971	0.4239649326
106	0.8105615069	0.4233770785
107	0.8113399917	0.42282812751108	0.8110367179	0.42242551631109	0.8111950372	0.42221673111110	0.8120975239	0.42155261111111	0.8125722402	0.42090169112112	0.8125149343	0.42047308113113	0.8124988178	0.42030488114114	0.8123104759	0.41963392115115	0.8131597113	0.41885255116116	0.8131876739	0.41856196117117	0.8135184289	0.41838008118118	0.8131736878	0.418142119	0119	0.8131876739	0.41773120	0.120	0.813375373	0.417483121	0121	0.8134468712	0.417084122	0122	0.8128847412	0.416612123	0123	0.8134750421	0.415807124	0124	0.8147413306	0.415135125	0125	0.8141079676	0.414682126	0126	0.8143671473	0.413670127	0127	0.8142087889	0.413434128	0128	0.8156045283	0.41289129	0.129	0.8157923959	0.412690973
130	0.8163821148	0.4125257514
131	0.8160382123	0.412161132	0132	0.8151604988	0.411922133	0133	0.8165582316	0.4115164629
134	0.8162994364	0.4113309614
135	0.8158820061	0.4109794872
136	0.8163421391	0.4104144357
137	0.8166312669	0.4101115829
138	0.8169205995	0.4093011255
139	0.8171947116	0.408823068
140	0.817468828	0.4084970366
141	0.8176582297	0.4082478733
142	0.8183386545	0.4077018729
143	0.8181380389	0.4074303158
144	0.8180376694	0.4071728074
145	0.8186871036	0.4068225434
146	0.8189455915	0.406787147	0147	0.8189616425	0.406609148	0148	0.8189195679	0.406225149	0149	0.8184284405	0.406100150	0150	0.8182858228	0.405835151	0151	0.8186187267	0.405343152	0152	0.8187190482	0.4051923437
153	0.8190940028	0.404967176
154	0.8190841671	0.4047612964
155	0.8187248472	0.4044969751
156	0.8193915715	0.4041063394
157	0.8190904527	0.403954399
158	0.8196247415	0.4036752401
159	0.8200331087	0.4032718703
160	0.8199163908	0.4030950644
161	0.8197577515	0.4028964153
162	0.8202666441	0.4025674251
163	0.8205254329	0.4023367508
164	0.8204836695	0.4020168877
