iter	Passed	Remaining
0	157	94390
1	171	51249
2	185	36853
3	198	29628
4	211	25178
5	224	22202
6	237	20146
7	250	18553
8	264	17378
9	277	16359
10	289	15496
11	306	15029
12	321	14516
13	333	13968
14	347	13537
15	359	13138
16	373	12818
17	389	12600
18	402	12308
19	415	12054
20	428	11809
21	440	11582
22	453	11386
23	467	11212
24	483	11116
25	497	10980
26	510	10833
27	524	10716
28	537	10589
29	551	10470
30	564	10367
31	578	10259
32	591	10163333	604	10063334	625	1003335	637	9983336	651	9903737	666	9863838	679	9773939	695	9734040	709	9674441	723	9604442	745	9654343	760	9610
44	777	9587
45	792	9539
46	807	9497
47	821	9452
48	838	9423
49	851	9365
50	865	9318
51	879	9270
52	893	9225
53	908	9181
54	921	9129
55	940	9132
56	953	9078
57	966	9032
58	981	8997
59	997	8978
60	1010	8931
61	1024	8887
62	1040	8870
63	1054	8830
64	1069	8806
65	1084	8772
66	1100	8754
67	1115	8723
68	1128	8685
69	1143	8654
70	1156	8614
71	1169	8577
7272	1186	85673	1198	8519
74	1211	8479
75	1228	8470
76	1245	8457
77	1258	8423
78	1272	8390
79	1286	8364
80	1301	8337
81	1316	8316
82	1337	8332
83	1351	8301
84	1364	8266
85	1381	8255
86	1394	8225
87	1407	8188
88	1421	8159
89	1433	8125
90	1447	8098
91	1462	8075
92	1477	8055
93	1490	8024
94	1504	7998
95	1523	7999
96	1535	7963
97	1550	7943
98	1563	7912
99	1578	7890
100	1591	7863
101	1606	7842
102	1618	7811
103	1631	7779
104	1642	7745
105	1655	7714
106	1669	7691
107	1685	7676
108	1697	7644
109	1708	7609
110	1718	7572
111	1729	7537
112	1740	7501
113	1752	7469
114	1763	7436
115	1776	7411
116	1787	7379
117	1799	7348
118	1810	7316
119	1821	7285
120	1832	7252
121	1843	7221
122	1853	7189
123	1865	7161
124	1877	7134
125	1888	7105
126	1900	7076
127	1911	7049
128	1923	7023
129	1935	6998
130	1947	6971
131	1957	6940
132	1968	6912
133	1980	6886
134	1991	6860
135	2002	6833
136	2014	6808
137	2025	6782
138	2036	6752
139	2046	6724
140	2058	6699
141	2069	6675
142	2081	6653
143	2092	6625
144	2104	6603
145	2115	6579
146	2123	6543
